t,steps_j4,steps_j5,steps_j6,deg_j6_cmd,enc_j6_raw,enc_valid
3.0004,0,0,0,0.000,0,0
3.0211,0,0,0,0.000,0,0
3.0495,0,0,0,0.000,0,0
3.0830,0,0,0,0.000,0,0
3.1137,0,0,0,0.000,0,0
3.1418,0,0,0,0.000,0,0
3.1644,0,0,0,0.000,0,0
3.1996,0,0,0,0.000,0,0
3.2304,0,0,0,0.000,0,0
3.2570,0,0,0,0.000,0,0
3.2796,0,0,0,0.000,0,0
3.3003,0,0,0,0.000,0,0
3.3236,0,0,0,0.000,0,0
3.3462,0,0,0,0.000,0,0
3.3716,0,0,0,0.000,0,0
3.3964,0,0,0,0.000,0,0
3.4210,0,0,0,0.000,0,0
3.4423,0,0,0,0.000,0,0
3.4659,0,0,0,0.000,0,0
3.4862,0,0,0,0.000,0,0
3.5134,0,0,0,0.000,0,0
3.5339,0,0,0,0.000,0,0
3.5545,0,0,0,0.000,0,0
3.5752,0,0,0,0.000,0,0
3.5957,0,0,0,0.000,0,0
3.6164,0,0,0,0.000,0,0
3.6369,0,0,0,0.000,0,0
3.6573,0,0,0,0.000,0,0
3.6776,0,0,0,0.000,0,0
3.6989,0,0,0,0.000,0,0
3.7191,0,0,0,0.000,0,0
3.7404,0,0,0,0.000,0,0
3.7620,0,0,0,0.000,0,0
3.7830,0,0,0,0.000,0,0
3.8037,0,0,0,0.000,0,0
3.8244,0,0,0,0.000,0,0
3.8480,0,0,0,0.000,0,0
3.8708,0,0,0,0.000,0,0
3.8922,0,0,0,0.000,0,0
3.9129,0,0,0,0.000,0,0
3.9332,0,0,0,0.000,0,0
3.9536,0,0,0,0.000,0,0
3.9740,0,0,0,0.000,0,0
3.9955,0,0,0,0.000,0,0
4.0158,0,0,0,0.000,0,0
4.0363,0,0,0,0.000,0,0
4.0568,0,0,0,0.000,0,0
4.0772,0,0,0,0.000,0,0
4.0977,0,0,0,0.000,0,0
4.1182,0,0,0,0.000,0,0
4.1389,0,0,0,0.000,0,0
4.1626,0,0,0,0.000,0,0
4.1838,0,0,0,0.000,0,0
4.2043,0,0,0,0.000,0,0
4.2245,0,0,0,0.000,0,0
4.2452,0,0,0,0.000,0,0
4.2656,0,0,0,0.000,0,0
4.2860,0,0,0,0.000,0,0
